break_even_price,open_interest,details.contract_type,details.exercise_style,details.expiration_date,details.shares_per_contract,details.strike_price,details.ticker,last_quote.ask,last_quote.ask_size,last_quote.ask_exchange,last_quote.bid,last_quote.bid_size,last_quote.bid_exchange,last_quote.last_updated,last_quote.midpoint,last_quote.timeframe,underlying_asset.change_to_break_even,underlying_asset.last_updated,underlying_asset.price,underlying_asset.ticker,underlying_asset.timeframe,day.close,day.high,day.last_updated,day.low,day.open,day.volume,day.vwap,last_trade.sip_timestamp,last_trade.conditions,last_trade.price,last_trade.size,last_trade.exchange,last_trade.timeframe,day.change,day.change_percent,day.previous_close,implied_volatility,greeks.delta,greeks.gamma,greeks.theta,greeks.vega
490.965,0,call,american,2024-01-30,100,406,O:SPY240130C00406000,85.16,305,316,84.77,305,316,1706562880324366848,84.965,REAL-TIME,0.025,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.965,0,call,american,2024-01-30,100,407,O:SPY240130C00407000,84.16,305,316,83.77,305,316,1706562880324131584,83.965,REAL-TIME,0.025,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.965,0,call,american,2024-01-30,100,408,O:SPY240130C00408000,83.16,305,316,82.77,305,316,1706562880324127744,82.965,REAL-TIME,0.025,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.965,0,call,american,2024-01-30,100,409,O:SPY240130C00409000,82.16,305,316,81.77,305,316,1706562880324331776,81.965,REAL-TIME,0.025,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.965,0,call,american,2024-01-30,100,410,O:SPY240130C00410000,81.16,305,316,80.77,305,316,1706562880323525376,80.965,REAL-TIME,0.025,1706566042664777472,490.94,SPY,REAL-TIME,77.77,77.77,1.7065044e+18,77.77,77.77,1.0,77.77,1.706542741865105e+18,[236],77.77,1.0,308.0,REAL-TIME,,,,,,,,
490.965,0,call,american,2024-01-30,100,411,O:SPY240130C00411000,80.16,305,316,79.77,305,316,1706562880324107008,79.965,REAL-TIME,0.025,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.97,0,call,american,2024-01-30,100,412,O:SPY240130C00412000,79.16,305,316,78.78,305,316,1706562880324101376,78.97,REAL-TIME,0.03,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.97,0,call,american,2024-01-30,100,413,O:SPY240130C00413000,78.16,305,316,77.78,305,316,1706562880324122368,77.97,REAL-TIME,0.03,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.97,0,call,american,2024-01-30,100,414,O:SPY240130C00414000,77.16,305,316,76.78,305,316,1706562880324116480,76.97,REAL-TIME,0.03,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.97,0,call,american,2024-01-30,100,415,O:SPY240130C00415000,76.16,305,316,75.78,305,316,1706562880324337152,75.97,REAL-TIME,0.03,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.97,0,call,american,2024-01-30,100,416,O:SPY240130C00416000,75.16,305,316,74.78,305,316,1706562880324131584,74.97,REAL-TIME,0.03,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.97,0,call,american,2024-01-30,100,417,O:SPY240130C00417000,74.16,305,316,73.78,305,316,1706562880323550464,73.97,REAL-TIME,0.03,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.97,0,call,american,2024-01-30,100,418,O:SPY240130C00418000,73.16,305,316,72.78,305,316,1706562880324387072,72.97,REAL-TIME,0.03,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.97,0,call,american,2024-01-30,100,419,O:SPY240130C00419000,72.16,305,316,71.78,305,316,1706562880324136448,71.97,REAL-TIME,0.03,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.97,2,call,american,2024-01-30,100,420,O:SPY240130C00420000,71.16,305,316,70.78,305,316,1706562880323539968,70.97,REAL-TIME,0.03,1706566042664777472,490.94,SPY,REAL-TIME,67.34,67.34,1.7065044e+18,67.34,67.34,2.0,67.34,1.7065440716734748e+18,[233],67.34,2.0,302.0,REAL-TIME,-0.37,-0.546,67.71,,,,,
490.97,0,call,american,2024-01-30,100,421,O:SPY240130C00421000,70.16,305,316,69.78,305,316,1706562880324116480,69.97,REAL-TIME,0.03,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.97,0,call,american,2024-01-30,100,422,O:SPY240130C00422000,69.16,305,316,68.78,305,316,1706562880324101376,68.97,REAL-TIME,0.03,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.975,0,call,american,2024-01-30,100,423,O:SPY240130C00423000,68.17,305,316,67.78,305,316,1706562880323565056,67.975,REAL-TIME,0.035,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.97,0,call,american,2024-01-30,100,424,O:SPY240130C00424000,67.16,305,316,66.78,305,316,1706562880324122368,66.97,REAL-TIME,0.03,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.97,0,call,american,2024-01-30,100,425,O:SPY240130C00425000,66.16,305,316,65.78,305,316,1706562880324112640,65.97,REAL-TIME,0.03,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.97,0,call,american,2024-01-30,100,426,O:SPY240130C00426000,65.16,305,316,64.78,305,316,1706562880324302592,64.97,REAL-TIME,0.03,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.97,0,call,american,2024-01-30,100,427,O:SPY240130C00427000,64.16,305,316,63.78,305,316,1706562880324127744,63.97,REAL-TIME,0.03,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.975,0,call,american,2024-01-30,100,428,O:SPY240130C00428000,63.17,305,316,62.78,305,316,1706562880323525376,62.975,REAL-TIME,0.035,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,,,,,
490.975,1,call,american,2024-01-30,100,429,O:SPY240130C00429000,62.17,305,316,61.78,305,316,1706562880324357120,61.975,REAL-TIME,0.035,1706566042664777472,490.94,SPY,REAL-TIME,55.19,55.21,1.7060436e+18,55.19,55.21,2.0,55.2,1.706035404071e+18,[209],55.19,1.0,313.0,REAL-TIME,0.0,0.0,55.19,,,,,
