break_even_price,open_interest,day.change,day.change_percent,day.close,day.high,day.last_updated,day.low,day.open,day.previous_close,day.volume,day.vwap,details.contract_type,details.exercise_style,details.expiration_date,details.shares_per_contract,details.strike_price,details.ticker,last_quote.ask,last_quote.ask_size,last_quote.ask_exchange,last_quote.bid,last_quote.bid_size,last_quote.bid_exchange,last_quote.last_updated,last_quote.midpoint,last_quote.timeframe,last_trade.sip_timestamp,last_trade.conditions,last_trade.price,last_trade.size,last_trade.exchange,last_trade.timeframe,underlying_asset.change_to_break_even,underlying_asset.last_updated,underlying_asset.price,underlying_asset.ticker,underlying_asset.timeframe,implied_volatility,greeks.delta,greeks.gamma,greeks.theta,greeks.vega
490.985,80,-1.13,-0.67,167.63,167.63,1.7065044e+18,167.59,167.59,168.76,13.0,167.5992,call,american,2024-01-31,100,320,O:SPY240131C00320000,171.18,305,316,170.79,305,316,1706562880324642560,170.985,REAL-TIME,1.706544821958716e+18,[233],167.63,1.0,312.0,REAL-TIME,0.045,1706566042664777472,490.94,SPY,REAL-TIME,,,,,
490.99,74,0.0,0.0,134.85,135.03,1.7024148e+18,133.56,133.56,134.85,64.0,134.0981,call,american,2024-01-31,100,330,O:SPY240131C00330000,161.18,305,316,160.8,305,316,1706562880324411904,160.99,REAL-TIME,1.702413152479e+18,[209],134.85,1.0,313.0,REAL-TIME,0.05,1706566042664777472,490.94,SPY,REAL-TIME,,,,,
490.995,59,0.0,0.0,130.25,130.3,1.7024148e+18,127.48,127.5,130.25,7.0,129.01,call,american,2024-01-31,100,335,O:SPY240131C00335000,156.19,305,316,155.8,305,316,1706562880324988672,155.995,REAL-TIME,1.702414934936e+18,[209],130.25,1.0,313.0,REAL-TIME,0.055,1706566042664777472,490.94,SPY,REAL-TIME,1.3337466078849949,0.9998724960677088,2.5698641102500384e-06,-0.027267739884883572,3.721037457782449e-05
490.995,70,0.0,0.0,138.6,138.6,1.7038836e+18,138.6,138.6,138.6,6.0,138.6,call,american,2024-01-31,100,340,O:SPY240131C00340000,151.19,305,316,150.8,305,316,1706562880325384448,150.995,REAL-TIME,1.703862156441e+18,[209],138.6,6.0,313.0,REAL-TIME,0.055,1706566042664777472,490.94,SPY,REAL-TIME,,,,,
490.995,92,0.0,0.0,127.87,127.87,1.7055252e+18,127.85,127.85,127.87,2.0,127.86,call,american,2024-01-31,100,345,O:SPY240131C00345000,146.19,305,316,145.8,305,316,1706562880324988672,145.995,REAL-TIME,1.705506014991e+18,[209],127.87,1.0,308.0,REAL-TIME,0.055,1706566042664777472,490.94,SPY,REAL-TIME,,,,,
491.0,139,0.0,0.0,138.77,138.77,1.70613e+18,138.77,138.77,138.77,1.0,138.77,call,american,2024-01-31,100,350,O:SPY240131C00350000,141.19,305,316,140.81,305,316,1706562880324778496,141.0,REAL-TIME,1.706118458428e+18,[232],138.77,1.0,304.0,REAL-TIME,0.06,1706566042664777472,490.94,SPY,REAL-TIME,1.2302358165292877,0.9998397920155655,5.463239005744216e-06,-0.030672548149982163,0.00018956651348938454
491.005,124,0.0,0.0,110.22,110.22,1.7024148e+18,107.37,107.37,110.22,223.0,108.6853,call,american,2024-01-31,100,355,O:SPY240131C00355000,136.2,305,316,135.81,305,316,1706562880324983552,136.005,REAL-TIME,1.702412721477e+18,[209],110.22,10.0,313.0,REAL-TIME,0.065,1706566042664777472,490.94,SPY,REAL-TIME,1.3111031453208084,0.9995927884847333,2.280584582773068e-05,-0.0416042337534382,0.000764988834589224
491.005,64,0.0,0.0,112.0,112.0,1.7055252e+18,112.0,112.0,112.0,3.0,112.0,call,american,2024-01-31,100,360,O:SPY240131C00360000,131.2,305,316,130.81,305,316,1706562880324792832,131.005,REAL-TIME,1.705503617471e+18,[233],112.0,3.0,312.0,REAL-TIME,0.065,1706566042664777472,490.94,SPY,REAL-TIME,1.2299426844210986,0.9996867379799083,1.756205960187075e-05,-0.03816459426501564,0.00019258915625866942
491.005,237,0.0,0.0,106.01,106.01,1.704402e+18,106.0,106.0,106.01,2.0,106.005,call,american,2024-01-31,100,365,O:SPY240131C00365000,126.2,305,316,125.81,305,316,1706562880324988672,126.005,REAL-TIME,1.704388753716e+18,[209],106.01,1.0,313.0,REAL-TIME,0.065,1706566042664777472,490.94,SPY,REAL-TIME,1.1007039674912535,0.9997997758008658,9.637464094946471e-06,-0.03398139306856585,0.00019344607453969612
491.01,35,0.0,0.0,118.98,118.98,1.7063028e+18,118.89,118.89,118.98,15.0,118.92,call,american,2024-01-31,100,370,O:SPY240131C00370000,121.2,305,316,120.82,305,316,1706562880324627456,121.01,REAL-TIME,1.706288831614e+18,[209],118.98,5.0,323.0,REAL-TIME,0.07,1706566042664777472,490.94,SPY,REAL-TIME,1.1543676769453428,0.9995244868771225,3.1063513554898216e-05,-0.044509485080026175,0.0007802850525569886
