break_even_price,implied_volatility,open_interest,day.change,day.change_percent,day.close,day.high,day.last_updated,day.low,day.open,day.previous_close,day.volume,day.vwap,details.contract_type,details.exercise_style,details.expiration_date,details.shares_per_contract,details.strike_price,details.ticker,greeks.delta,greeks.gamma,greeks.theta,greeks.vega,last_quote.ask,last_quote.ask_size,last_quote.ask_exchange,last_quote.bid,last_quote.bid_size,last_quote.bid_exchange,last_quote.last_updated,last_quote.midpoint,last_quote.timeframe,last_trade.sip_timestamp,last_trade.conditions,last_trade.price,last_trade.size,last_trade.exchange,last_trade.timeframe,underlying_asset.change_to_break_even,underlying_asset.last_updated,underlying_asset.price,underlying_asset.ticker,underlying_asset.timeframe
405.995,1.201574974724122,145,0.0,0.0,0.01,0.01,1.7062164e+18,0.01,0.01,0.01,25.0,0.01,put,american,2024-01-30,100,406,O:SPY240130P00406000,-0.0015135987746929778,0.00014820367480433255,-0.07057763949199762,0.001958212614237123,0.01,7287,308,0.0,0,303,1706562163998703360,0.005,REAL-TIME,1.706194723344e+18,[209],0.01,25.0,304.0,REAL-TIME,-84.9,1706566042664777472,490.94,SPY,REAL-TIME
406.995,1.1869171821997895,0,,,0.01,0.01,1.7065044e+18,0.01,0.01,,1.0,0.01,put,american,2024-01-30,100,407,O:SPY240130P00407000,-0.00153105152496034,0.00015158662250938393,-0.07043703535432627,0.001960542070801937,0.01,7672,308,0.0,0,304,1706562163989902592,0.005,REAL-TIME,1.7065404075921408e+18,[233],0.01,1.0,302.0,REAL-TIME,-83.9,1706566042664777472,490.94,SPY,REAL-TIME
407.995,1.1722955953731191,0,,,,,,,,,,,put,american,2024-01-30,100,408,O:SPY240130P00408000,-0.001548892409145272,0.0001550838879916262,-0.07029640708030047,0.0019628634954739453,0.01,4179,313,0.0,0,315,1706561999914966272,0.005,REAL-TIME,,,,,,,-82.9,1706566042664777472,490.94,SPY,REAL-TIME
408.995,1.1577100402913407,0,,,,,,,,,,,put,american,2024-01-30,100,409,O:SPY240130P00409000,-0.0015671347086903963,0.00015870069589998616,-0.07015575505509553,0.001965182059287951,0.01,4130,313,0.0,0,315,1706561999919146496,0.005,REAL-TIME,,,,,,,-81.9,1706566042664777472,490.94,SPY,REAL-TIME
409.995,1.143160344442404,2,0.0,0.0,0.01,0.01,1.7065044e+18,0.01,0.01,0.01,4.0,0.01,put,american,2024-01-30,100,410,O:SPY240130P00410000,-0.0015857923170457555,0.00016244257312527212,-0.07001507965822987,0.001967494105035535,0.01,4940,323,0.0,0,313,1706562508633792512,0.005,REAL-TIME,1.7065555749496553e+18,[209],0.01,2.0,300.0,REAL-TIME,-80.9,1706566042664777472,490.94,SPY,REAL-TIME
410.995,1.1286463369938209,0,,,,,,,,,,,put,american,2024-01-30,100,411,O:SPY240130P00411000,-0.0016048797753199953,0.00016631537003517115,-0.06987438129347194,0.001969799308852048,0.01,4936,323,0.0,0,313,1706562508633792512,0.005,REAL-TIME,,,,,,,-79.9,1706566042664777472,490.94,SPY,REAL-TIME
411.995,1.1141678489128868,19,0.0,0.0,0.01,0.01,1.7063028e+18,0.01,0.01,0.01,1.0,0.01,put,american,2024-01-30,100,412,O:SPY240130P00412000,-0.0016244123104884787,0.00017032528347378568,-0.06973366040706387,0.001972097831055975,0.01,5088,313,0.0,0,323,1706561992063610368,0.005,REAL-TIME,1.706303280005e+18,[209],0.01,1.0,312.0,REAL-TIME,-78.9,1706566042664777472,490.94,SPY,REAL-TIME
412.995,1.0997247112102948,0,,,,,,,,,,,put,american,2024-01-30,100,413,O:SPY240130P00413000,-0.0016444058762487127,0.0001744788816842039,-0.06959291726605178,0.0019743905957057407,0.01,7631,308,0.0,0,303,1706562163999074816,0.005,REAL-TIME,,,,,,,-77.9,1706566042664777472,490.94,SPY,REAL-TIME
413.995,1.0853167573888718,10,0.0,0.0,0.01,0.01,1.7063028e+18,0.01,0.01,0.01,5.0,0.01,put,american,2024-01-30,100,414,O:SPY240130P00414000,-0.0016648771969259087,0.00017878313135690188,-0.06945215226393231,0.001976677891926442,0.01,3815,313,0.0,0,300,1706561999919146496,0.005,REAL-TIME,1.706279405226e+18,[209],0.01,5.0,316.0,REAL-TIME,-76.9,1706566042664777472,490.94,SPY,REAL-TIME
414.995,1.0709438220591343,4,0.0,0.0,0.03,0.03,1.7059572e+18,0.03,0.03,0.03,4.0,0.03,put,american,2024-01-30,100,415,O:SPY240130P00415000,-0.0016858438145102446,0.00018324542699646419,-0.06931136574700884,0.001978957535566736,0.01,3738,313,0.0,0,304,1706561999919141376,0.005,REAL-TIME,1.705936602909e+18,[209],0.03,1.0,301.0,REAL-TIME,-75.9,1706566042664777472,490.94,SPY,REAL-TIME
